"","contrast","estimate","SE","df","t.ratio","p.value"
"1","CST1 - CST2",-1.21156445837478,0.275199410097369,220,-4.40249656765659,4.95029978795358e-05
"2","CST1 - CST3",-1.07771015555991,0.407793824715259,220,-2.64278194088011,0.0238508546212127
"3","CST2 - CST3",0.133854302814871,0.421767532817367,220,0.317365117985107,0.946007979256669
