"","contrast","estimate","SE","df","t.ratio","p.value"
"1","CST1 - CST2",0.577311381319761,0.938928932988278,220,0.614861637592084,0.812151223872348
"2","CST1 - CST3",2.70408922963969,1.39131628437589,220,1.94354745934185,0.129028583842302
"3","CST2 - CST3",2.12677784831993,1.43899196374439,220,1.47796367311591,0.303483648786129
