"","contrast","estimate","SE","df","t.ratio","p.value"
"1","CST1 - CST2",-7.01119522337138,6.57227821944198,220,-1.06678308331972,0.535711105216959
"2","CST1 - CST3",23.0124549328089,9.73888160316468,220,2.36294637007713,0.0495971288858491
"3","CST2 - CST3",30.0236501561803,10.0725999689556,220,2.98072496164992,0.00894356758381321
