"","contrast","estimate","SE","df","t.ratio","p.value"
"1","CST1 - CST2",-0.0360379718575526,0.011616062130489,220,-3.10242588690728,0.00612574159928447
"2","CST1 - CST3",0.0958990261696319,0.0172128217958251,220,5.57137158027696,2.1985718157147e-07
"3","CST2 - CST3",0.131936998027185,0.0178026466848028,220,7.41108894442151,8.01847477305273e-12
