"","contrast","estimate","SE","df","t.ratio","p.value"
"1","CST1 - CST2",-0.639311995954064,0.136782788623883,220,-4.67392134921308,1.5324580613707e-05
"2","CST1 - CST3",1.74511441181786,0.20268639568819,220,8.60992374891561,3.73034936274053e-14
"3","CST2 - CST3",2.38442640777192,0.209631769448062,220,11.3743561581809,1.46549439250521e-14
